plant_name,plant_code,region,state,fuel_types,primary_technology
Boston Medical Center CHP Plant,61186,New England,MA,NG,Natural Gas Internal Combustion Engine
Boston Scientific Solar,57992,New England,MA,SUN,Solar Photovoltaic
Bourne (MA) - Holliston I,59750,New England,MA,SUN,Solar Photovoltaic
"Boutillier Solar, LLC CSG",63556,New England,MA,SUN,Solar Photovoltaic
Bowden Solar LLC,63659,New England,MA,SUN,Solar Photovoltaic
Bradford Solar,65566,New England,MA,SUN,Solar Photovoltaic
Braintree Landfill Solar,61538,New England,MA,SUN,Solar Photovoltaic
Braley Road 2,58680,New England,MA,SUN,Solar Photovoltaic
Breckenridge Solar,64432,New England,MA,"MWH, SUN",Multiple
Brewster Landfill,59075,New England,MA,SUN,Solar Photovoltaic
Bridgewater Complex Co-Generation Plant,62757,New England,MA,NG,Natural Gas Fired Combustion Turbine
Bridgewater Solar CSG,60730,New England,MA,SUN,Solar Photovoltaic
Brockelman,59241,New England,MA,SUN,Solar Photovoltaic
Brockelman Road Solar 2,65650,New England,MA,"MWH, SUN",Multiple
Brook Street Solar 1 CSG,61008,New England,MA,SUN,Solar Photovoltaic
Brookfield Solar 2013 LLC,60613,New England,MA,SUN,Solar Photovoltaic
Brookfield Wire Company,63232,New England,MA,SUN,Solar Photovoltaic
Brookwood Drive Community Solar,64727,New England,MA,"MWH, SUN",Multiple
Browne Solar LLC,59361,New England,MA,SUN,Solar Photovoltaic
Bullock Road Solar 1,61010,New England,MA,SUN,Solar Photovoltaic
CED Chicopee Solar,61602,New England,MA,SUN,Solar Photovoltaic
CED Northampton Solar LLC Hybrid,62695,New England,MA,"MWH, SUN",Multiple
"CED Westfield Solar, LLC",60274,New England,MA,SUN,Solar Photovoltaic
CES Agawam Tuckahoe Solar Hybrid,63763,New England,MA,"MWH, SUN",Multiple
CES Sterling LLC,58387,New England,MA,SUN,Solar Photovoltaic
Cabot,1629,New England,MA,WAT,Conventional Hydroelectric
Cabot Holyoke,9864,New England,MA,WAT,Conventional Hydroelectric
Camelot Wind LLC,58958,New England,MA,WND,Onshore Wind Turbine
Canal,1599,New England,MA,"NG, RFO",Multiple
Canton,64107,New England,MA,SUN,Solar Photovoltaic
Cape Cod Air Force Station - 6 SWS,58661,New England,MA,WND,Onshore Wind Turbine
Carver,64115,New England,MA,SUN,Solar Photovoltaic
Carver CSG,62763,New England,MA,SUN,Solar Photovoltaic
Carver MA 1 Community Solar,60442,New England,MA,SUN,Solar Photovoltaic
Cedarville CSG,60757,New England,MA,SUN,Solar Photovoltaic
Centaurus Solar - MA,61371,New England,MA,SUN,Solar Photovoltaic
Centech Gas Generator,65768,New England,MA,NG,Natural Gas Internal Combustion Engine
Charlemont A,65242,New England,MA,"MWH, SUN",Multiple
Charlestown Wind Turbine,58065,New England,MA,WND,Onshore Wind Turbine
Charlton Solar I CSG,59636,New England,MA,SUN,Solar Photovoltaic
Chatham Landfill,59077,New England,MA,SUN,Solar Photovoltaic
Chemical,1604,New England,MA,WAT,Conventional Hydroelectric
Cherry Street,9038,New England,MA,"DFO, NG",Multiple
"Cherry Valley Solar, LLC CSG",63561,New England,MA,SUN,Solar Photovoltaic
Chester Solar Farm,59767,New England,MA,SUN,Solar Photovoltaic
Chicopee,64120,New England,MA,SUN,Solar Photovoltaic
Chicopee Granby Road Solar,59626,New England,MA,SUN,Solar Photovoltaic
Chicopee Hydroelectric Station,50832,New England,MA,WAT,Conventional Hydroelectric
Chicopee River Solar,59625,New England,MA,SUN,Solar Photovoltaic
Chicopee Solar,59030,New England,MA,SUN,Solar Photovoltaic
Chocksett Rd Energy Storage Project,60959,New England,MA,MWH,Batteries
Citizens Agawam Landfill Solar,61596,New England,MA,SUN,Solar Photovoltaic
"Clark Road Solar 1, LLC",64664,New England,MA,"MWH, SUN",Multiple
Clark University,10408,New England,MA,NG,Natural Gas Internal Combustion Engine
Cleary Flood Hybrid,1682,New England,MA,"MWH, NG",Multiple
Cobble Mountain,1630,New England,MA,WAT,Conventional Hydroelectric
"Cohasse Solar, LLC CSG",63573,New England,MA,SUN,Solar Photovoltaic
Collins Facility,52166,New England,MA,WAT,Conventional Hydroelectric
Concord Solar Farm,59768,New England,MA,SUN,Solar Photovoltaic
CoreSite - Somerville,66151,New England,MA,NG,Other Natural Gas
Cosgrove Intake and Power Station,10825,New England,MA,WAT,Conventional Hydroelectric
Cottage Street Solar Facility,58568,New England,MA,SUN,Solar Photovoltaic
Covanta Haverhill,50661,New England,MA,MSW,Municipal Solid Waste
Cranberry Highway Solar LLC,65174,New England,MA,"MWH, SUN",Multiple
Cranberry Solar,63697,New England,MA,SUN,Solar Photovoltaic
"Cronin Road Solar 1, LLC CSG Hybrid",63011,New England,MA,"MWH, SUN",Multiple
Curtis Hill Solar CSG,60851,New England,MA,SUN,Solar Photovoltaic
Cycz Solar Project CSG Hybrid,63472,New England,MA,"MWH, SUN",Multiple
DDR Shoppers World,60754,New England,MA,SUN,Solar Photovoltaic
DG Crystal Spring CSG,61555,New England,MA,SUN,Solar Photovoltaic
DG Dighton LLC CSG,61634,New England,MA,SUN,Solar Photovoltaic
DG Foxborough Elm CSG,61590,New England,MA,SUN,Solar Photovoltaic
DG Haverhill CSG,61550,New England,MA,SUN,Solar Photovoltaic
DG Tufts Knoll LLC CSG,61635,New England,MA,SUN,Solar Photovoltaic
DG Tufts Science LLC CSG,61633,New England,MA,SUN,Solar Photovoltaic
DG Webster LLC CSG,61636,New England,MA,SUN,Solar Photovoltaic
Dartmouth,58682,New England,MA,SUN,Solar Photovoltaic
Dartmouth Farms Solar,65636,New England,MA,SUN,Solar Photovoltaic
Dartmouth II Solar,57838,New England,MA,SUN,Solar Photovoltaic
Dartmouth Landfill,59131,New England,MA,SUN,Solar Photovoltaic
Dartmouth Power Associates LP,52026,New England,MA,NG,Multiple
Dartmouth Solar,57473,New England,MA,SUN,Solar Photovoltaic
Deer Island Treatment Plant,10823,New England,MA,"DFO, OBG, SUN, WAT, WND",Multiple
Deerfield 2,6047,New England,MA,WAT,Conventional Hydroelectric
Deerfield 3,6083,New England,MA,WAT,Conventional Hydroelectric
Deerfield 4,6119,New England,MA,WAT,Conventional Hydroelectric
Deerfield 5,1620,New England,MA,WAT,Conventional Hydroelectric
Deerfield CSG Solar,60775,New England,MA,SUN,Solar Photovoltaic
Dennis Landfill,59082,New England,MA,SUN,Solar Photovoltaic
Depot Hill Solar CSG,60852,New England,MA,SUN,Solar Photovoltaic
Dept of Corrections NCCI Wind,58992,New England,MA,WND,Onshore Wind Turbine
Devens,59358,New England,MA,SUN,Solar Photovoltaic
Dighton Power Plant,55026,New England,MA,NG,Natural Gas Fired Combined Cycle
Dorchester Solar Site,57265,New England,MA,SUN,Solar Photovoltaic
Douglas Solar,57934,New England,MA,SUN,Solar Photovoltaic
Dover,64587,New England,MA,SUN,Solar Photovoltaic
Dresser Hill CSG,64437,New England,MA,SUN,Solar Photovoltaic
Dudley,64572,New England,MA,SUN,Solar Photovoltaic
"Dudley River 2 Solar, LLC CSG",63570,New England,MA,SUN,Solar Photovoltaic
"Dudley River 3 Solar, LLC CSG",63569,New England,MA,SUN,Solar Photovoltaic
"Dudley River Solar, LLC CSG",63571,New England,MA,SUN,Solar Photovoltaic
Dudley Solar CSG,62201,New England,MA,SUN,Solar Photovoltaic
"Dunstable Solar 1, LLC",64696,New England,MA,"MWH, SUN",Multiple
Dwight,6378,New England,MA,WAT,Conventional Hydroelectric
Dynamic - Walpole,62324,New England,MA,SUN,Solar Photovoltaic
EBZ Solar,59032,New England,MA,SUN,Solar Photovoltaic
EDF Lancaster,59140,New England,MA,SUN,Solar Photovoltaic
"ENGIE 2019 ProjectCo-MA1, LLC",65175,New England,MA,SUN,Solar Photovoltaic
"East Acres Solar NG, LLC",61755,New England,MA,SUN,Solar Photovoltaic
East Bridgewater Solar,62197,New England,MA,SUN,Solar Photovoltaic
East Brookfield Adams Road Solar LLC CSG,64129,New England,MA,"MWH, SUN",Multiple
East Brookfield Main Street Solar LLC CSG,63887,New England,MA,SUN,Solar Photovoltaic
East Longmeadow Solar PV,62059,New England,MA,SUN,Solar Photovoltaic
East Springfield Solar PV,62093,New England,MA,SUN,Solar Photovoltaic
Easthampton CSG,63953,New England,MA,SUN,Solar Photovoltaic
Easthampton Landfill-City of Easthampton,58272,New England,MA,SUN,Solar Photovoltaic
Easton Landfill,59134,New England,MA,SUN,Solar Photovoltaic
Electric Avenue Lunenburg Solar 1,66076,New England,MA,MWH,Batteries
Elm Street,64419,New England,MA,SUN,Solar Photovoltaic
Equinix - Billerica,65209,New England,MA,NG,Other Natural Gas
Equity Industrial Turbines,60865,New England,MA,WND,Onshore Wind Turbine
Erving CSG,63950,New England,MA,SUN,Solar Photovoltaic
