plant_name,plant_code,region,state,fuel_types,primary_technology
Gastonia Solar Center,60359,Carolinas,NC,SUN,Solar Photovoltaic
"Gastonia, Tulip Drive",56262,Carolinas,NC,DFO,Petroleum Liquids
Gates Solar LLC,58673,Carolinas,NC,SUN,Solar Photovoltaic
"Germantown Solar, LLC",60480,Carolinas,NC,SUN,Solar Photovoltaic
Gilead,65505,Carolinas,NC,SUN,Solar Photovoltaic
Gladstone Farm,65506,Carolinas,NC,SUN,Solar Photovoltaic
Gliden (Op Zone),64385,Carolinas,NC,SUN,Solar Photovoltaic
Graham Solar Center LLC,58957,Carolinas,NC,SUN,Solar Photovoltaic
Grandy PV 1,59518,Carolinas,NC,SUN,Solar Photovoltaic
Granite Falls Walmart,56549,Carolinas,NC,DFO,Petroleum Liquids
Granville Solar PV Power Project,58487,Carolinas,NC,SUN,Solar Photovoltaic
Green Farm,59148,Carolinas,NC,SUN,Solar Photovoltaic
"Grissom Solar, LLC",64450,Carolinas,NC,"MWH, SUN",Multiple
Grove Solar,60181,Carolinas,NC,SUN,Solar Photovoltaic
Gutenberg Solar,63076,Carolinas,NC,SUN,Solar Photovoltaic
"HCE Johnston I, LLC",60121,Carolinas,NC,SUN,Solar Photovoltaic
HCE Moore I,62539,Carolinas,NC,SUN,Solar Photovoltaic
HWY 158 PV,63566,Carolinas,NC,SUN,Solar Photovoltaic
HXNAir Solar One,60209,Carolinas,NC,SUN,Solar Photovoltaic
Halifax,58943,Carolinas,NC,SUN,Solar Photovoltaic
Hall Solar Energy Storage,64508,Carolinas,NC,"MWH, SUN",Multiple
Hamlet Generating Facility,56292,Carolinas,NC,NG,Natural Gas Fired Combustion Turbine
"Hanover Solar, LLC",61877,Carolinas,NC,SUN,Solar Photovoltaic
Happy Solar,59512,Carolinas,NC,SUN,Solar Photovoltaic
"Hardison Farm Solar, LLC",60415,Carolinas,NC,SUN,Solar Photovoltaic
Harrell's Hill Solar Center LLC,59337,Carolinas,NC,SUN,Solar Photovoltaic
Harris,6015,Carolinas,NC,NUC,Nuclear
"Harrison Solar, LLC",63975,Carolinas,NC,SUN,Solar Photovoltaic
"Harts Mill Solar, LLC",64144,Carolinas,NC,SUN,Solar Photovoltaic
"Harvest Beulaville, LLC",63299,Carolinas,NC,SUN,Solar Photovoltaic
Haw River Hydro,10258,Carolinas,NC,WAT,Conventional Hydroelectric
Hawtree Solar,62951,Carolinas,NC,SUN,Solar Photovoltaic
"Hayes Solar, LLC",63974,Carolinas,NC,SUN,Solar Photovoltaic
Haynes Farm,58332,Carolinas,NC,SUN,Solar Photovoltaic
"Haywood Farm Solar, LLC",61255,Carolinas,NC,SUN,Solar Photovoltaic
Hector Farm,60577,Carolinas,NC,SUN,Solar Photovoltaic
Heedeh Solar,60157,Carolinas,NC,SUN,Solar Photovoltaic
Hemlock Solar,60207,Carolinas,NC,SUN,Solar Photovoltaic
Henry Farm,65552,Carolinas,NC,SUN,Solar Photovoltaic
Hertford Solar Farm,60384,Carolinas,NC,SUN,Solar Photovoltaic
"Hertford Solar Power, LLC",63024,Carolinas,NC,SUN,Solar Photovoltaic
"Hew Fulton Farm, LLC",60778,Carolinas,NC,SUN,Solar Photovoltaic
Hickory,59829,Carolinas,NC,SUN,Solar Photovoltaic
"High Point, Fairfield",56059,Carolinas,NC,DFO,Petroleum Liquids
"High Point, POLO",57196,Carolinas,NC,DFO,Petroleum Liquids
"High Point, Pump Station Rd",56260,Carolinas,NC,DFO,Petroleum Liquids
High Rock Hydro,54896,Carolinas,NC,WAT,Conventional Hydroelectric
High Shoals Hydro (NC),10550,Carolinas,NC,WAT,Conventional Hydroelectric
High Shoals PV1,59997,Carolinas,NC,SUN,Solar Photovoltaic
"Highest Power Solar, LLC",63812,Carolinas,NC,SUN,Solar Photovoltaic
Highland Solar Center LLC,59163,Carolinas,NC,SUN,Solar Photovoltaic
Highwater Solar I,59487,Carolinas,NC,SUN,Solar Photovoltaic
Hiwassee Dam,2780,Carolinas,NC,WAT,Multiple
"Holly Swamp Solar, LLC",63695,Carolinas,NC,SUN,Solar Photovoltaic
Holstein Plant,58623,Carolinas,NC,SUN,Solar Photovoltaic
"Hood Farm Solar, LLC",61256,Carolinas,NC,SUN,Solar Photovoltaic
Hopewell Friends,61883,Carolinas,NC,SUN,Solar Photovoltaic
Hot Springs Energy Storage & Microgrid,64640,Carolinas,NC,"MWH, SUN",Multiple
"Howell Midland Farm, LLC",60312,Carolinas,NC,SUN,Solar Photovoltaic
Huntersville Delivery No 2,56550,Carolinas,NC,DFO,Petroleum Liquids
Husky Solar,59510,Carolinas,NC,SUN,Solar Photovoltaic
Hutchinson Farm,59564,Carolinas,NC,SUN,Solar Photovoltaic
Ingredion Winston Salem,54618,Carolinas,NC,WDS,Wood/Wood Waste Biomass
Innovative Solar 10,60050,Carolinas,NC,SUN,Solar Photovoltaic
"Innovative Solar 14, LLC",59553,Carolinas,NC,SUN,Solar Photovoltaic
"Innovative Solar 15, LLC",59554,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 16,60055,Carolinas,NC,SUN,Solar Photovoltaic
"Innovative Solar 18, LLC",60051,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 23,59670,Carolinas,NC,SUN,Solar Photovoltaic
"Innovative Solar 26, LLC",60052,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 31,60540,Carolinas,NC,SUN,Solar Photovoltaic
"Innovative Solar 35, LLC",61258,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 37 LLC,59665,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 42,60539,Carolinas,NC,SUN,Solar Photovoltaic
"Innovative Solar 43, LLC",60149,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 44,59675,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 46,59671,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 47,59666,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 48,59667,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 54,59669,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 55,59676,Carolinas,NC,SUN,Solar Photovoltaic
"Innovative Solar 59, LLC",61259,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 6,59542,Carolinas,NC,SUN,Solar Photovoltaic
"Innovative Solar 60, LLC",61260,Carolinas,NC,SUN,Solar Photovoltaic
"Innovative Solar 63, LLC",60053,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 64,59677,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 65,60398,Carolinas,NC,SUN,Solar Photovoltaic
Innovative Solar 67,59678,Carolinas,NC,SUN,Solar Photovoltaic
International Paper Co. - New Bern Mill,50188,Carolinas,NC,BLQ,Wood/Wood Waste Biomass
International Paper Riegelwood Mill,54656,Carolinas,NC,BLQ,Wood/Wood Waste Biomass
Iredell County LFG Facility,56962,Carolinas,NC,LFG,Landfill Gas
Ivy River Hydro,50890,Carolinas,NC,WAT,Conventional Hydroelectric
Jackson Solar Farm,61292,Carolinas,NC,SUN,Solar Photovoltaic
Jacob Solar,59503,Carolinas,NC,SUN,Solar Photovoltaic
Jakana Solar,59170,Carolinas,NC,SUN,Solar Photovoltaic
James E. Rogers Energy Complex,2721,Carolinas,NC,BIT,Conventional Steam Coal
"Jamesville Road Solar, LLC",62329,Carolinas,NC,SUN,Solar Photovoltaic
Jersey Holdings,60784,Carolinas,NC,SUN,Solar Photovoltaic
Jester Solar,60290,Carolinas,NC,SUN,Solar Photovoltaic
Jordan Hydroelectric Project,58390,Carolinas,NC,WAT,Conventional Hydroelectric
Kalish Farm Solar,65553,Carolinas,NC,SUN,Solar Photovoltaic
KapStone Kraft Paper Corp,50254,Carolinas,NC,BLQ,Wood/Wood Waste Biomass
Kathleen Solar,60180,Carolinas,NC,SUN,Solar Photovoltaic
Keen Farm,59565,Carolinas,NC,SUN,Solar Photovoltaic
Kelford,59796,Carolinas,NC,SUN,Solar Photovoltaic
Kelford,59527,Carolinas,NC,SUN,Solar Photovoltaic
"Kelly Solar, LLC",61219,Carolinas,NC,SUN,Solar Photovoltaic
Kenansville,59051,Carolinas,NC,SUN,Solar Photovoltaic
"Kenansville Solar 2, LLC",58803,Carolinas,NC,SUN,Solar Photovoltaic
"Kenansville Solar Farm, LLC",58840,Carolinas,NC,SUN,Solar Photovoltaic
Kendall Farm,65554,Carolinas,NC,SUN,Solar Photovoltaic
"Kennedy Solar, LLC",60397,Carolinas,NC,SUN,Solar Photovoltaic
Kenneth Solar,59507,Carolinas,NC,SUN,Solar Photovoltaic
Kings Mountain Energy Center,59325,Carolinas,NC,NG,Natural Gas Fired Combined Cycle
Kinston,59125,Carolinas,NC,SUN,Solar Photovoltaic
Kinston Davis Farm,61090,Carolinas,NC,SUN,Solar Photovoltaic
Kinston Solar,59832,Carolinas,NC,SUN,Solar Photovoltaic
Kirkwall Holdings,58791,Carolinas,NC,SUN,Solar Photovoltaic
Kojak Farm,60578,Carolinas,NC,SUN,Solar Photovoltaic
L V Sutton Combined Cycle,58697,Carolinas,NC,NG,Multiple
"Lafayette Solar I, LLC",60105,Carolinas,NC,SUN,Solar Photovoltaic
Lake Lure,2773,Carolinas,NC,WAT,Conventional Hydroelectric
Landis Delivery No 2,56551,Carolinas,NC,DFO,Petroleum Liquids
"Lane II Solar, LLC",63837,Carolinas,NC,SUN,Solar Photovoltaic
Lane Solar,62104,Carolinas,NC,SUN,Solar Photovoltaic
Lang Solar Farm,63449,Carolinas,NC,SUN,Solar Photovoltaic
"Langdon Solar Farm, LLC",60538,Carolinas,NC,SUN,Solar Photovoltaic
Langley PV1,59158,Carolinas,NC,SUN,Solar Photovoltaic
Lanier Solar,59486,Carolinas,NC,SUN,Solar Photovoltaic
Laurinburg Farm,61091,Carolinas,NC,SUN,Solar Photovoltaic
Laurinburg Solar,59833,Carolinas,NC,SUN,Solar Photovoltaic
"Laurinburg Solar, LLC (Heelstone)",60200,Carolinas,NC,SUN,Solar Photovoltaic
Lee Combined Cycle Plant,58215,Carolinas,NC,NG,Natural Gas Fired Combined Cycle
"Leggett Solar, LLC",60783,Carolinas,NC,SUN,Solar Photovoltaic
Lenoir Farm,58333,Carolinas,NC,SUN,Solar Photovoltaic
Lenoir Farm 2,58334,Carolinas,NC,SUN,Solar Photovoltaic
Lewiston Solar,59174,Carolinas,NC,SUN,Solar Photovoltaic
Lexington,56261,Carolinas,NC,DFO,Petroleum Liquids
Lexington Health Center,56067,Carolinas,NC,DFO,Petroleum Liquids
"Lick Creek Solar, LLC",63811,Carolinas,NC,SUN,Solar Photovoltaic
Lillington Solar,59921,Carolinas,NC,SUN,Solar Photovoltaic
Lincoln Combustion,7277,Carolinas,NC,NG,Natural Gas Fired Combustion Turbine
"Lincoln Solar, LLC (NC)",60399,Carolinas,NC,SUN,Solar Photovoltaic
Lincolnton High School,56341,Carolinas,NC,DFO,Petroleum Liquids
Little River PV 1,59521,Carolinas,NC,SUN,Solar Photovoltaic
Littlefield Solar Center LLC,58809,Carolinas,NC,SUN,Solar Photovoltaic
Lockville Hydropower,10051,Carolinas,NC,WAT,Conventional Hydroelectric
Long Creek Waste Water Plant,57630,Carolinas,NC,DFO,Petroleum Liquids
"Long Farm 46 Solar, LLC",60208,Carolinas,NC,SUN,Solar Photovoltaic
Long Henry Solar,61347,Carolinas,NC,SUN,Solar Photovoltaic
Lookout Shoals,2726,Carolinas,NC,WAT,Conventional Hydroelectric
Lotus,64173,Carolinas,NC,SUN,Solar Photovoltaic
Lowe Solar Energy Storage,64516,Carolinas,NC,"MWH, SUN",Multiple
Ludie Brown Solar Energy Storage,64514,Carolinas,NC,"MWH, SUN",Multiple
Lumberton,10382,Carolinas,NC,WDS,Wood/Wood Waste Biomass
"Lux Solar, LLC",61284,Carolinas,NC,SUN,Solar Photovoltaic
MC1 Solar,60395,Carolinas,NC,SUN,Solar Photovoltaic
MILL SOLAR 1,61160,Carolinas,NC,SUN,Solar Photovoltaic
Maiden Community Center,56342,Carolinas,NC,DFO,Petroleum Liquids
Maiden Creek Solar Power Plant,62668,Carolinas,NC,SUN,Solar Photovoltaic
Manning PV 1,59520,Carolinas,NC,SUN,Solar Photovoltaic
Manway Solar Farm,59575,Carolinas,NC,SUN,Solar Photovoltaic
Mariposa Solar Center LLC,59162,Carolinas,NC,SUN,Solar Photovoltaic
Market Farm,59105,Carolinas,NC,SUN,Solar Photovoltaic
Marshall (NC),2727,Carolinas,NC,BIT,Conventional Steam Coal
Marshall Dam,2710,Carolinas,NC,WAT,Conventional Hydroelectric
Marshville Farm,58335,Carolinas,NC,SUN,Solar Photovoltaic
Martin Creek Farm LLC,59124,Carolinas,NC,SUN,Solar Photovoltaic
"Martins Creek Solar NC, LLC",57461,Carolinas,NC,SUN,Solar Photovoltaic
"Mas Durham Power, LLC",57365,Carolinas,NC,LFG,Landfill Gas
"Maxton Solar, LLC",60416,Carolinas,NC,SUN,Solar Photovoltaic
Mayberry Solar LLC,57321,Carolinas,NC,SUN,Solar Photovoltaic
Mayo,6250,Carolinas,NC,BIT,Conventional Steam Coal
McCallum Farm,58350,Carolinas,NC,SUN,Solar Photovoltaic
"McGoogan Farm, LLC",60779,Carolinas,NC,SUN,Solar Photovoltaic
McGrigor Farm Solar,60440,Carolinas,NC,SUN,Solar Photovoltaic
McGuire,6038,Carolinas,NC,NUC,Nuclear
McKenzie Farm,58853,Carolinas,NC,SUN,Solar Photovoltaic
Meadowbrook Solar Farm,59936,Carolinas,NC,SUN,Solar Photovoltaic
Meadowlark Solar,64117,Carolinas,NC,SUN,Solar Photovoltaic
Meadows PV 1,59513,Carolinas,NC,SUN,Solar Photovoltaic
"Meeks Solar, LLC",63267,Carolinas,NC,SUN,Solar Photovoltaic
Melinda Solar,59502,Carolinas,NC,SUN,Solar Photovoltaic
Meriwether Farm,60579,Carolinas,NC,SUN,Solar Photovoltaic
Metropolitan Sewerage District,10181,Carolinas,NC,WAT,Conventional Hydroelectric
Mile Farm,58336,Carolinas,NC,SUN,Solar Photovoltaic
"Mill Pond Solar Farm, LLC",61196,Carolinas,NC,SUN,Solar Photovoltaic
"Mill Pond Solar, LLC",62328,Carolinas,NC,SUN,Solar Photovoltaic
Millikan Farm,59576,Carolinas,NC,SUN,Solar Photovoltaic
Mills Anson Farm,61093,Carolinas,NC,SUN,Solar Photovoltaic
Milo Solar,58739,Carolinas,NC,SUN,Solar Photovoltaic
Minnie Solar,58740,Carolinas,NC,SUN,Solar Photovoltaic
Misenheimer Farm,59577,Carolinas,NC,SUN,Solar Photovoltaic
Mission,2746,Carolinas,NC,WAT,Conventional Hydroelectric
Mocksville Farm,58313,Carolinas,NC,SUN,Solar Photovoltaic
Mocksville Solar,59570,Carolinas,NC,SUN,Solar Photovoltaic
Modlin Solar Farm,60417,Carolinas,NC,SUN,Solar Photovoltaic
Moncure Farm LLC,59123,Carolinas,NC,SUN,Solar Photovoltaic
Monroe Generating Station,57505,Carolinas,NC,NG,Natural Gas Fired Combustion Turbine
Monroe Middle School,56343,Carolinas,NC,DFO,Petroleum Liquids
Monroe Moore Farm,59578,Carolinas,NC,SUN,Solar Photovoltaic
Monroe Solar Facility,60383,Carolinas,NC,SUN,Solar Photovoltaic
Montgomery Solar LLC,58649,Carolinas,NC,SUN,Solar Photovoltaic
Moore Solar,64193,Carolinas,NC,SUN,Solar Photovoltaic
Moore Solar Farm,58337,Carolinas,NC,SUN,Solar Photovoltaic
Moorings Farm,58338,Carolinas,NC,SUN,Solar Photovoltaic
"Moorings Farm 2, LLC",61405,Carolinas,NC,SUN,Solar Photovoltaic
"Morgan Farm, LLC",60133,Carolinas,NC,SUN,Solar Photovoltaic
Morgan's Corner,60422,Carolinas,NC,SUN,Solar Photovoltaic
Morganton Station 5,56344,Carolinas,NC,DFO,Petroleum Liquids
"Morganton, Parker Road",56064,Carolinas,NC,DFO,Petroleum Liquids
Morning View,61881,Carolinas,NC,SUN,Solar Photovoltaic
Mount Olive Farm,59107,Carolinas,NC,SUN,Solar Photovoltaic
Mount Olive Solar,59908,Carolinas,NC,SUN,Solar Photovoltaic
Mountain Island,2728,Carolinas,NC,WAT,Conventional Hydroelectric
Mt Olive Farm 2,58345,Carolinas,NC,SUN,Solar Photovoltaic
Mt Olive Solar 1,59645,Carolinas,NC,SUN,Solar Photovoltaic
Murdock Solar,59509,Carolinas,NC,SUN,Solar Photovoltaic
"Murphy Farm Power, LLC",57677,Carolinas,NC,SUN,Solar Photovoltaic
Murphy-Brown LLC,55002,Carolinas,NC,DFO,Petroleum Liquids
Mustang Solar,61533,Carolinas,NC,SUN,Solar Photovoltaic
NC 102 Project LLC,61610,Carolinas,NC,SUN,Solar Photovoltaic
NCSU CCUP Cogeneration Plant,61675,Carolinas,NC,NG,Multiple
NCSU Cates Cogeneration Plant,61676,Carolinas,NC,NG,Natural Gas Fired Combustion Turbine
Nantahala,2747,Carolinas,NC,WAT,Conventional Hydroelectric
Narrows (NC),54894,Carolinas,NC,WAT,Conventional Hydroelectric
Nash 58 Farm,58854,Carolinas,NC,SUN,Solar Photovoltaic
Nash 64 Farm,58855,Carolinas,NC,SUN,Solar Photovoltaic
Nash 97 Solar 2,64118,Carolinas,NC,SUN,Solar Photovoltaic
"Nash 97 Solar, LLC",60408,Carolinas,NC,SUN,Solar Photovoltaic
"Nashville Farms, LLC",60134,Carolinas,NC,SUN,Solar Photovoltaic
Neisler Street Solar,60072,Carolinas,NC,SUN,Solar Photovoltaic
Neuse River Solar Farm,58524,Carolinas,NC,SUN,Solar Photovoltaic
New Bern,56688,Carolinas,NC,LFG,Landfill Gas
New Bern Farm,58339,Carolinas,NC,SUN,Solar Photovoltaic
Newton Grove,59835,Carolinas,NC,SUN,Solar Photovoltaic
Nick Solar,58741,Carolinas,NC,SUN,Solar Photovoltaic
Nickelson Solar 2,64119,Carolinas,NC,SUN,Solar Photovoltaic
"Nickelson Solar, LLC",62205,Carolinas,NC,SUN,Solar Photovoltaic
Nitro Solar,59501,Carolinas,NC,SUN,Solar Photovoltaic
North 301 Solar,61778,Carolinas,NC,SUN,Solar Photovoltaic
North Carolina Solar Bethea I,58531,Carolinas,NC,SUN,Solar Photovoltaic
North Carolina Solar III LLC,58880,Carolinas,NC,SUN,Solar Photovoltaic
"North Nash Farm, LLC",60651,Carolinas,NC,SUN,Solar Photovoltaic
Northern Cardinal Solar,60992,Carolinas,NC,SUN,Solar Photovoltaic
Oakboro Farm,58851,Carolinas,NC,SUN,Solar Photovoltaic
Ocracoke Hybrid,6377,Carolinas,NC,"DFO, MWH",Multiple
Old Caroleen Solar Farm,61534,Carolinas,NC,SUN,Solar Photovoltaic
Old Catawba PV 1,59519,Carolinas,NC,SUN,Solar Photovoltaic
Old Cedar Solar Energy Storage,64522,Carolinas,NC,"MWH, SUN",Multiple
Old Pageland Monroe Road Solar Farm,60600,Carolinas,NC,SUN,Solar Photovoltaic
Old Wire Farm,61094,Carolinas,NC,SUN,Solar Photovoltaic
Onslow Power Producers,58558,Carolinas,NC,LFG,Landfill Gas
Orbit Energy Charlotte,58638,Carolinas,NC,OBG,Other Waste Biomass
Organ Church Solar,60284,Carolinas,NC,SUN,Solar Photovoltaic
Ouchchy PV1,59999,Carolinas,NC,SUN,Solar Photovoltaic
Owen Solar,58742,Carolinas,NC,SUN,Solar Photovoltaic
Oxford Dam,2729,Carolinas,NC,WAT,Conventional Hydroelectric
PCIP Solar,58305,Carolinas,NC,SUN,Solar Photovoltaic
PCS Phosphate,50509,Carolinas,NC,WH,All Other
PCSP3 Airport,58538,Carolinas,NC,SUN,Solar Photovoltaic
"PG Solar, LLC",63692,Carolinas,NC,SUN,Solar Photovoltaic
Page Solar,62018,Carolinas,NC,SUN,Solar Photovoltaic
Pamlico Partners Solar,58799,Carolinas,NC,SUN,Solar Photovoltaic
"Panda Solar NC 1, LLC",62089,Carolinas,NC,SUN,Solar Photovoltaic
"Panda Solar NC 10, LLC",62128,Carolinas,NC,SUN,Solar Photovoltaic
"Panda Solar NC 11, LLC",62129,Carolinas,NC,SUN,Solar Photovoltaic
"Panda Solar NC 2, LLC",62120,Carolinas,NC,SUN,Solar Photovoltaic
"Panda Solar NC 3, LLC",62121,Carolinas,NC,SUN,Solar Photovoltaic
"Panda Solar NC 4, LLC",62122,Carolinas,NC,SUN,Solar Photovoltaic
"Panda Solar NC 5, LLC",62123,Carolinas,NC,SUN,Solar Photovoltaic
"Panda Solar NC 6, LLC",62124,Carolinas,NC,SUN,Solar Photovoltaic
"Panda Solar NC 7, LLC",62125,Carolinas,NC,SUN,Solar Photovoltaic
"Panda Solar NC 8, LLC",62126,Carolinas,NC,SUN,Solar Photovoltaic
"Panda Solar NC 9, LLC",62127,Carolinas,NC,SUN,Solar Photovoltaic
Pasquotank,59530,Carolinas,NC,SUN,Solar Photovoltaic
Pate Farm,58856,Carolinas,NC,SUN,Solar Photovoltaic
Peake Road,65555,Carolinas,NC,SUN,Solar Photovoltaic
"Pecan Grove Solar, LLC",62659,Carolinas,NC,SUN,Solar Photovoltaic
Pecan PV1,59157,Carolinas,NC,SUN,Solar Photovoltaic
Pecan Solar,60030,Carolinas,NC,SUN,Solar Photovoltaic
Penny Hill Solar,63266,Carolinas,NC,SUN,Solar Photovoltaic
"Perkins Solar, LLC",60629,Carolinas,NC,SUN,Solar Photovoltaic
Phelps 158 Solar Farm,61134,Carolinas,NC,SUN,Solar Photovoltaic
Pikeville Farm,61404,Carolinas,NC,SUN,Solar Photovoltaic
"Pilot Mountain Solar, LLC",63835,Carolinas,NC,SUN,Solar Photovoltaic
"Pine Valley Solar Farm, LLC",60298,Carolinas,NC,SUN,Solar Photovoltaic
Pinesage,61978,Carolinas,NC,SUN,Solar Photovoltaic
Pineville Delivery 2,56345,Carolinas,NC,DFO,Petroleum Liquids
Plott Hound Solar,63015,Carolinas,NC,SUN,Solar Photovoltaic
Plymouth Solar LLC,58480,Carolinas,NC,SUN,Solar Photovoltaic
Pollocksville Solar,59917,Carolinas,NC,SUN,Solar Photovoltaic
Porter Solar,59504,Carolinas,NC,SUN,Solar Photovoltaic
Powatan Road Solar,64035,Carolinas,NC,SUN,Solar Photovoltaic
Princeton,59533,Carolinas,NC,SUN,Solar Photovoltaic
Progress Manis I,58529,Carolinas,NC,SUN,Solar Photovoltaic
"Progress Solar 1, LLC",58493,Carolinas,NC,SUN,Solar Photovoltaic
"Progress Solar II, LLC",58494,Carolinas,NC,SUN,Solar Photovoltaic
"Progress Solar III, LLC",58495,Carolinas,NC,SUN,Solar Photovoltaic
QVC Inc,56966,Carolinas,NC,SUN,Solar Photovoltaic
Quarter Horse Solar,62095,Carolinas,NC,SUN,Solar Photovoltaic
Queens Creek,6438,Carolinas,NC,WAT,Conventional Hydroelectric
Quincy Solar,59506,Carolinas,NC,SUN,Solar Photovoltaic
Raeford Farm,58274,Carolinas,NC,SUN,Solar Photovoltaic
Railroad Farm,58316,Carolinas,NC,SUN,Solar Photovoltaic
Railroad Farm 2,61095,Carolinas,NC,SUN,Solar Photovoltaic
"Railroad Solar Farm, LLC",63381,Carolinas,NC,SUN,Solar Photovoltaic
Rams Horn Solar Center LLC,58810,Carolinas,NC,SUN,Solar Photovoltaic
"Ranchland Solar, LLC",61813,Carolinas,NC,SUN,Solar Photovoltaic
Ray Wilson Solar,63017,Carolinas,NC,SUN,Solar Photovoltaic
"Red Hill Solar Center, LLC",59760,Carolinas,NC,SUN,Solar Photovoltaic
"Red Oak Solar Farm, LLC",60929,Carolinas,NC,SUN,Solar Photovoltaic
"Red Toad 1425 A Powatan Road, LLC",60129,Carolinas,NC,SUN,Solar Photovoltaic
"Red Toad 4451 Buffalo Road, LLC",62131,Carolinas,NC,SUN,Solar Photovoltaic
"Red Toad 5840 Buffalo Road, LLC",62204,Carolinas,NC,SUN,Solar Photovoltaic
Redmon Solar Farm LLC,59114,Carolinas,NC,SUN,Solar Photovoltaic
Reventure Park,58865,Carolinas,NC,LFG,Landfill Gas
Rhodhiss,2730,Carolinas,NC,WAT,Conventional Hydroelectric
"Richlands Solar, LLC",65583,Carolinas,NC,SUN,Solar Photovoltaic
Ridgeback,65110,Carolinas,NC,SUN,Solar Photovoltaic
"River Road Solar, LLC",60487,Carolinas,NC,SUN,Solar Photovoltaic
Roanoke Rapids,2758,Carolinas,NC,WAT,Conventional Hydroelectric
Robeson County LFG to Energy,59763,Carolinas,NC,LFG,Landfill Gas
Robin Solar,60165,Carolinas,NC,SUN,Solar Photovoltaic
Rock Farm,58347,Carolinas,NC,SUN,Solar Photovoltaic
Rockingham County CT Station,55116,Carolinas,NC,NG,Natural Gas Fired Combustion Turbine
"Rockingham Solar, LLC",60106,Carolinas,NC,SUN,Solar Photovoltaic
Rockwell Solar LLC,58668,Carolinas,NC,SUN,Solar Photovoltaic
Rocky Mount Mill,50468,Carolinas,NC,WAT,Conventional Hydroelectric
"Roper Farm, LLC",60761,Carolinas,NC,SUN,Solar Photovoltaic
Rose Hill,59375,Carolinas,NC,SUN,Solar Photovoltaic
Rosemary Power Station,50555,Carolinas,NC,DFO,Petroleum Liquids
Rosewood Solar,61520,Carolinas,NC,SUN,Solar Photovoltaic
Rowan,7826,Carolinas,NC,NG,Multiple
Roxboro,2712,Carolinas,NC,BIT,Conventional Steam Coal
Roxboro Farm,58340,Carolinas,NC,SUN,Solar Photovoltaic
"Roxboro Solar Farm, LLC",61288,Carolinas,NC,SUN,Solar Photovoltaic
Royal Solar,59831,Carolinas,NC,SUN,Solar Photovoltaic
Ruff Solar LLC,62594,Carolinas,NC,SUN,Solar Photovoltaic
Ruskin Solar,60922,Carolinas,NC,SUN,Solar Photovoltaic
Rutherford Farm,59589,Carolinas,NC,SUN,Solar Photovoltaic
Ryland Road Solar,64677,Carolinas,NC,SUN,Solar Photovoltaic
SAS Solar Farm,56915,Carolinas,NC,SUN,Solar Photovoltaic
"SID Solar I, LLC",60108,Carolinas,NC,SUN,Solar Photovoltaic
Sabattus Solar LLC,62596,Carolinas,NC,SUN,Solar Photovoltaic
Sadiebrook NC Solar,62102,Carolinas,NC,SUN,Solar Photovoltaic
Salem Energy Systems LLC,54984,Carolinas,NC,LFG,Landfill Gas
Salisbury Solar,61128,Carolinas,NC,SUN,Solar Photovoltaic
"Samarcand Solar Farm, LLC",58805,Carolinas,NC,SUN,Solar Photovoltaic
Sampson Solar,61096,Carolinas,NC,SUN,Solar Photovoltaic
"Sandy Cross Solar, LLC",58491,Carolinas,NC,SUN,Solar Photovoltaic
Sandy Solar,62692,Carolinas,NC,SUN,Solar Photovoltaic
Santeetlah,54898,Carolinas,NC,WAT,Conventional Hydroelectric
Sarah Solar,59500,Carolinas,NC,SUN,Solar Photovoltaic
Scarlet Solar,60921,Carolinas,NC,SUN,Solar Photovoltaic
Schell Solar Farm,59591,Carolinas,NC,SUN,Solar Photovoltaic
"Scotch Bonnet Solar, LLC",63345,Carolinas,NC,SUN,Solar Photovoltaic
Seaboard Solar LLC,59643,Carolinas,NC,SUN,Solar Photovoltaic
Seagrove,65556,Carolinas,NC,SUN,Solar Photovoltaic
Sedberry Farm,59592,Carolinas,NC,SUN,Solar Photovoltaic
Sellers Farm Solar,60439,Carolinas,NC,SUN,Solar Photovoltaic
Selma Solar LLC,58669,Carolinas,NC,SUN,Solar Photovoltaic
Shankle Solar Center LLC,58956,Carolinas,NC,SUN,Solar Photovoltaic
Shannon Farm,58323,Carolinas,NC,SUN,Solar Photovoltaic
Shawboro PV1,59155,Carolinas,NC,SUN,Solar Photovoltaic
"Shelby Randolph Road Solar 1, LLC",60101,Carolinas,NC,SUN,Solar Photovoltaic
Shelby Solar Energy Generation Facility,57200,Carolinas,NC,SUN,Solar Photovoltaic
